Rank,Username,Owner,Followers (millions),Profession/Activity,Country/Continent,Gender
1,@instagram,Instagram,515,Social media platform, United States,NA
2,@cristiano,Cristiano Ronaldo,450,Footballer, Portugal,M
3,@kyliejenner,Kylie Jenner,344,"Television personality, model and businesswoman", United States,F
4,@leomessi,Lionel Messi,333,Footballer, Argentina,M
5,@selenagomez,Selena Gomez,324,"Musician, actress, producer and businesswoman", United States,F
6,@therock,Dwayne Johnson,320,Actor and professional wrestler, United States,M
7,@kimkardashian,Kim Kardashian,316,"Television personality, model and businesswoman", United States,F
8,@arianagrande,Ariana Grande,314,Musician and actress, United States,F
9,@beyonce,Beyoncé,261,"Musician, actress and businesswoman", United States,F
10,@khloekardashian,Khloé Kardashian,249,Television personality and model, United States,F
11,@kendalljenner,Kendall Jenner,240,Model and television personality, United States,F
12,@justinbieber,Justin Bieber,239,Musician, Canada,M
13,@natgeo,National Geographic,225,Magazine, United States,NA
14,@nike,Nike,221,Sportswear multinational, United States,NA
15,@taylorswift,Taylor Swift,213,Musician, United States,F
16,@jlo,Jennifer Lopez,211,Musician and actress, United States,F
17,@virat.kohli,Virat Kohli,199,Cricketer, India,M
18,@nickiminaj,Nicki Minaj,192,Musician, Trinidad and Tobago,F
19,@kourtneykardash,Kourtney Kardashian,182,Television personality and model, United States,F
20,@neymarjr,Neymar,175,Footballer, Brazil,M
21,@mileycyrus,Miley Cyrus,173,Musician and actress, United States,F
22,@katyperry,Katy Perry,163,Musician, United States,F
23,@kevinhart4real,Kevin Hart,143,Comedian and actor, United States,M
24,@zendaya,Zendaya,143,Actress, United States,F
25,@ddlovato,Demi Lovato,133,Musician and actor, United States,F
26,@iamcardib,Cardi B,133,Musician and actor, United States,F
27,@badgalriri,Rihanna,130,Musician and businesswoman, Barbados,F
28,@kingjames,LeBron James,123,Basketball player, United States,M
29,@theellenshow,Ellen DeGeneres,121,Comedian and television personality, United States,F
30,@realmadrid,Real Madrid CF,119,Football club, Spain,NA
31,@champagnepapi,Drake,112,Musician, Canada,M
32,@chrisbrownofficial,Chris Brown,111,Musician, United States,M
33,@fcbarcelona,FC Barcelona,109,Football club, Spain,NA
34,@billieeilish,Billie Eilish,103,Musician, United States,F
35,@championsleague,UEFA Champions League,94.5,Club football competition, Europe,NA
36,@dualipa,Dua Lipa,84,Musician, United Kingdom,F
37,@gal_gadot,Gal Gadot,81.7,Actress, Israel,F
38,@vindiesel,Vin Diesel,80.7,Actor, United States,M
39,@priyankachopra,Priyanka Chopra,79,Actress and musician, India,F
40,@lalalalisa_m,Lisa,78.3,Musician and model, Thailand,F
41,@khaby00,Khaby Lame,78,Social media personality, Italy,M
42,@nasa,NASA,77.8,Space agency, United States,NA
43,@gigihadid,Gigi Hadid,74.6,Model, United States,F
44,@shakira,Shakira,74.1,Musician, Colombia,F
45,@snoopdogg,Snoop Dogg,73.9,Musician, United States,M
46,@davidbeckham,David Beckham,73.8,Social media personality, United Kingdom,M
47,@victoriassecret,Victoria's Secret,72.8,Lingerie Company, United States,NA
48,@shraddhakapoor,Shraddha Kapoor,72.8,Actress, India,F
49,@k.mbappe,Kylian Mbappé,71.4,Footballer, France,M
50,@nehakakkar,Neha Kakkar,70.1,Musician, India,F
